model,task,category,score,passed,wall_s,tok_s,tokens,prompt_tokens,ok,tier,timestamp
qwen2.5-coder:7b,multi_build_scooter,multi_step,1.0,True,12.09,64.11,761,112,True,,2026-07-27T13:26:08
qwen2.5-coder:7b,code_battery_monitor,create,1.0,True,12.7,64.26,800,134,True,,2026-07-27T13:26:20
qwen2.5-coder:7b,search_tools,search,0.25,False,9.59,64.03,600,80,True,,2026-07-27T13:26:33
qwen2.5-coder:7b,diag_comm_error,diagnose,0.75,True,9.15,63.94,571,93,True,,2026-07-27T13:26:42
nous-hermes2:latest,inv_find_bug,investigate,0.75,False,11.14,50.45,197,169,True,,2026-07-27T13:26:52
nous-hermes2:latest,diag_ev_system,diagnose,1.0,True,12.13,50.1,600,116,True,,2026-07-27T13:27:03
nous-hermes2:latest,create_dispensa,create,0.21,False,1.57,51.3,71,115,True,,2026-07-27T13:27:15
nous-hermes2:latest,search_mosfet,search,0.5,True,12.13,50.05,600,122,True,,2026-07-27T13:27:16
nous-hermes2:latest,fix_injection,fix,0.67,True,9.39,50.06,459,153,True,,2026-07-27T13:27:29
nous-hermes2:latest,predict_batt_degrad,predict,0.67,False,12.15,50.07,600,115,True,,2026-07-27T13:27:38
nous-hermes2:latest,multi_build_scooter,multi_step,1.0,True,11.71,50.0,576,128,True,,2026-07-27T13:27:50
nous-hermes2:latest,code_battery_monitor,create,1.0,True,16.31,49.73,800,146,True,,2026-07-27T13:28:02
nous-hermes2:latest,search_tools,search,0.25,False,9.57,50.22,471,90,True,,2026-07-27T13:28:18
nous-hermes2:latest,diag_comm_error,diagnose,1.0,True,12.14,50.1,600,104,True,,2026-07-27T13:28:28
wizardlm2:7b,inv_find_bug,investigate,1.0,True,12.96,73.98,600,162,True,,2026-07-27T13:28:40
wizardlm2:7b,diag_ev_system,diagnose,1.0,True,8.23,74.07,600,109,True,,2026-07-27T13:28:53
wizardlm2:7b,create_dispensa,create,1.0,True,15.03,73.37,1093,108,True,,2026-07-27T13:29:01
wizardlm2:7b,search_mosfet,search,1.0,True,8.27,74.02,600,115,True,,2026-07-27T13:29:16
wizardlm2:7b,fix_injection,fix,0.67,True,8.26,74.06,600,146,True,,2026-07-27T13:29:24
wizardlm2:7b,predict_batt_degrad,predict,0.67,False,8.23,74.1,600,108,True,,2026-07-27T13:29:33
wizardlm2:7b,multi_build_scooter,multi_step,1.0,True,16.54,73.17,1200,121,True,,2026-07-27T13:29:41
wizardlm2:7b,code_battery_monitor,create,1.0,True,11.08,73.5,800,139,True,,2026-07-27T13:29:57
wizardlm2:7b,search_tools,search,0.25,False,8.23,74.06,600,83,True,,2026-07-27T13:30:08
wizardlm2:7b,diag_comm_error,diagnose,0.75,True,8.22,74.08,600,97,True,,2026-07-27T13:30:17
llama3:text,inv_find_bug,investigate,0.0,False,9.67,1000000.0,1,108,True,,2026-07-27T13:30:25
llama3:text,diag_ev_system,diagnose,0.0,False,0.26,1000000.0,1,73,True,,2026-07-27T13:30:35
llama3:text,create_dispensa,create,0.03,False,0.67,69.34,31,70,True,,2026-07-27T13:30:35
llama3:text,search_mosfet,search,0.0,False,0.24,1000000.0,1,67,True,,2026-07-27T13:30:36
llama3:text,fix_injection,fix,0.33,False,0.22,1000000.0,1,91,True,,2026-07-27T13:30:36
llama3:text,predict_batt_degrad,predict,0.0,False,0.23,1000000.0,1,67,True,,2026-07-27T13:30:36
llama3:text,multi_build_scooter,multi_step,0.0,False,18.37,66.12,1200,76,True,,2026-07-27T13:30:36
llama3:text,code_battery_monitor,create,0.0,False,0.3,1000000.0,1,97,True,,2026-07-27T13:30:55
llama3:text,search_tools,search,0.5,False,9.21,66.76,600,54,True,,2026-07-27T13:30:55
llama3:text,diag_comm_error,diagnose,0.0,False,3.32,67.5,206,68,True,,2026-07-27T13:31:04
qwen2.5:0.5b,inv_find_bug,investigate,0.25,False,3.54,334.25,600,144,True,,2026-07-27T13:31:07
qwen2.5:0.5b,diag_ev_system,diagnose,0.75,True,1.93,337.41,600,105,True,,2026-07-27T13:31:11
qwen2.5:0.5b,create_dispensa,create,1.0,True,1.27,341.35,380,102,True,,2026-07-27T13:31:13
qwen2.5:0.5b,search_mosfet,search,0.5,True,1.93,337.58,600,110,True,,2026-07-27T13:31:14
qwen2.5:0.5b,fix_injection,fix,1.0,True,1.93,338.62,600,127,True,,2026-07-27T13:31:16
qwen2.5:0.5b,predict_batt_degrad,predict,1.0,True,1.93,339.16,600,105,True,,2026-07-27T13:31:18
qwen2.5:0.5b,multi_build_scooter,multi_step,1.0,True,3.73,335.47,1200,112,True,,2026-07-27T13:31:20
qwen2.5:0.5b,code_battery_monitor,create,0.33,False,2.39,332.74,742,134,True,,2026-07-27T13:31:24
qwen2.5:0.5b,search_tools,search,0.25,False,1.95,334.41,600,80,True,,2026-07-27T13:31:26
qwen2.5:0.5b,diag_comm_error,diagnose,0.75,True,1.94,337.07,600,93,True,,2026-07-27T13:31:28
command-r7b:latest,inv_find_bug,investigate,1.0,True,25.38,54.64,600,510,True,,2026-07-27T13:31:30
command-r7b:latest,diag_ev_system,diagnose,1.0,True,11.44,54.56,600,463,True,,2026-07-27T13:31:55
command-r7b:latest,create_dispensa,create,1.0,True,10.7,54.84,564,460,True,,2026-07-27T13:32:07
command-r7b:latest,search_mosfet,search,0.5,True,11.5,54.15,600,470,True,,2026-07-27T13:32:18
command-r7b:latest,fix_injection,fix,1.0,True,7.33,54.86,379,496,True,,2026-07-27T13:32:29
command-r7b:latest,predict_batt_degrad,predict,1.0,True,11.38,54.63,600,462,True,,2026-07-27T13:32:36
command-r7b:latest,multi_build_scooter,multi_step,1.0,True,19.91,54.13,1055,472,True,,2026-07-27T13:32:48
command-r7b:latest,code_battery_monitor,create,1.0,True,15.23,54.12,800,495,True,,2026-07-27T13:33:08
command-r7b:latest,search_tools,search,0.25,False,11.42,54.71,600,444,True,,2026-07-27T13:33:23
command-r7b:latest,diag_comm_error,diagnose,1.0,True,9.59,54.65,501,456,True,,2026-07-27T13:33:34
devstral:24b,inv_find_bug,investigate,0.5,False,133.39,5.43,600,129,True,,2026-07-27T13:33:44
devstral:24b,diag_ev_system,diagnose,0.75,True,121.82,4.99,600,89,True,,2026-07-27T13:35:57
devstral:24b,create_dispensa,create,1.0,True,105.25,5.28,548,91,True,,2026-07-27T13:37:59
devstral:24b,search_mosfet,search,0.5,True,115.21,5.28,600,97,True,,2026-07-27T13:39:44
devstral:24b,fix_injection,fix,1.0,True,98.21,5.29,511,116,True,,2026-07-27T13:41:40
devstral:24b,predict_batt_degrad,predict,0.67,False,115.75,5.25,600,87,True,,2026-07-27T13:43:18
devstral:24b,multi_build_scooter,multi_step,1.0,True,154.95,5.21,800,96,True,,2026-07-27T13:45:14
devstral:24b,code_battery_monitor,create,1.0,True,152.77,5.29,800,121,True,,2026-07-27T13:47:48
devstral:24b,search_tools,search,0.25,False,114.33,5.32,600,68,True,,2026-07-27T13:50:21
devstral:24b,diag_comm_error,diagnose,0.75,True,114.65,5.3,600,76,True,,2026-07-27T13:52:16
hermes3:8b,inv_find_bug,investigate,0.75,True,19.96,66.56,600,145,True,,2026-07-27T13:54:10
hermes3:8b,diag_ev_system,diagnose,1.0,True,9.3,66.64,600,103,True,,2026-07-27T13:54:30
hermes3:8b,create_dispensa,create,1.0,True,7.74,66.75,497,103,True,,2026-07-27T13:54:39
hermes3:8b,search_mosfet,search,0.75,True,9.33,66.28,600,103,True,,2026-07-27T13:54:47
hermes3:8b,fix_injection,fix,0.67,True,6.65,66.72,424,128,True,,2026-07-27T13:54:57
hermes3:8b,predict_batt_degrad,predict,1.0,True,9.29,66.53,600,102,True,,2026-07-27T13:55:03
hermes3:8b,multi_build_scooter,multi_step,1.0,True,10.44,66.48,676,108,True,,2026-07-27T13:55:12
hermes3:8b,code_battery_monitor,create,0.33,False,12.8,64.04,800,129,True,,2026-07-27T13:55:23
hermes3:8b,search_tools,search,0.5,True,8.83,62.86,524,81,True,,2026-07-27T13:55:36
hermes3:8b,diag_comm_error,diagnose,0.75,True,9.95,63.53,600,91,True,,2026-07-27T13:55:45
qwen-fuso:7b,inv_find_bug,investigate,0.5,False,22.44,64.32,600,144,True,,2026-07-27T13:55:55
qwen-fuso:7b,diag_ev_system,diagnose,1.0,True,13.36,64.53,600,105,True,,2026-07-27T13:56:17
qwen-fuso:7b,create_dispensa,create,1.0,True,10.96,64.39,692,102,True,,2026-07-27T13:56:30
qwen-fuso:7b,search_mosfet,search,0.75,True,10.16,60.51,600,110,True,,2026-07-27T13:56:41
qwen-fuso:7b,fix_injection,fix,0.67,True,10.29,60.6,600,127,True,,2026-07-27T13:56:51
qwen-fuso:7b,predict_batt_degrad,predict,1.0,True,10.28,60.69,600,105,True,,2026-07-27T13:57:02
qwen-fuso:7b,multi_build_scooter,multi_step,1.0,True,19.34,63.3,1200,112,True,,2026-07-27T13:57:12
qwen-fuso:7b,code_battery_monitor,create,1.0,True,18.62,64.29,800,134,True,,2026-07-27T13:57:31
qwen-fuso:7b,search_tools,search,0.25,False,9.56,64.22,600,80,True,,2026-07-27T13:57:50
qwen-fuso:7b,diag_comm_error,diagnose,0.75,True,9.55,64.33,600,93,True,,2026-07-27T13:58:00
phi4:latest,inv_find_bug,investigate,0.75,True,47.18,17.92,600,147,True,,2026-07-27T13:58:09
phi4:latest,diag_ev_system,diagnose,0.25,False,34.21,17.79,600,105,True,,2026-07-27T13:58:56
phi4:latest,create_dispensa,create,1.0,True,45.69,17.65,798,105,True,,2026-07-27T13:59:30
phi4:latest,search_mosfet,search,0.5,True,34.36,17.72,600,105,True,,2026-07-27T14:00:16
phi4:latest,fix_injection,fix,0.67,True,42.92,14.14,600,130,True,,2026-07-27T14:00:51
phi4:latest,predict_batt_degrad,predict,0.67,False,34.51,17.64,600,104,True,,2026-07-27T14:01:33
phi4:latest,multi_build_scooter,multi_step,1.0,True,69.87,17.29,1200,110,True,,2026-07-27T14:02:08
phi4:latest,code_battery_monitor,create,1.0,True,46.64,17.36,800,131,True,,2026-07-27T14:03:18
phi4:latest,search_tools,search,0.25,False,34.48,17.65,600,83,True,,2026-07-27T14:04:04
phi4:latest,diag_comm_error,diagnose,1.0,True,34.56,17.61,600,93,True,,2026-07-27T14:04:39
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,inv_find_bug,investigate,0,False,0,0,0,0,False,,2026-07-27T14:05:14
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,diag_ev_system,diagnose,0.5,False,204.21,2.99,600,105,True,,2026-07-27T14:10:14
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,create_dispensa,create,1.0,True,198.61,3.0,502,102,True,,2026-07-27T14:13:38
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,search_mosfet,search,0.5,True,203.29,2.99,600,110,True,,2026-07-27T14:16:56
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,fix_injection,fix,0.67,True,203.93,2.98,600,127,True,,2026-07-27T14:20:20
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,predict_batt_degrad,predict,1.0,True,202.9,3.0,600,105,True,,2026-07-27T14:23:44
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,multi_build_scooter,multi_step,1.0,True,271.87,2.97,800,112,True,,2026-07-27T14:27:07
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,code_battery_monitor,create,1.0,True,272.72,2.96,800,134,True,,2026-07-27T14:31:38
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,search_tools,search,0.5,False,208.93,2.91,600,80,True,,2026-07-27T14:36:11
hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,diag_comm_error,diagnose,1.0,True,202.51,3.0,600,93,True,,2026-07-27T14:39:40
qwen3.6:35b,inv_find_bug,investigate,1.0,True,85.21,30.96,600,139,True,,2026-07-27T14:43:03
qwen3.6:35b,diag_ev_system,diagnose,0.75,False,21.12,31.23,600,92,True,,2026-07-27T14:44:28
qwen3.6:35b,create_dispensa,create,1.0,True,26.66,32.0,800,91,True,,2026-07-27T14:44:49
qwen3.6:35b,search_mosfet,search,0.5,True,20.47,31.98,600,102,True,,2026-07-27T14:45:16
qwen3.6:35b,fix_injection,fix,1.0,True,20.94,31.69,600,129,True,,2026-07-27T14:45:36
qwen3.6:35b,predict_batt_degrad,predict,1.0,True,20.44,32.06,600,92,True,,2026-07-27T14:45:57
qwen3.6:35b,multi_build_scooter,multi_step,1.0,True,26.76,31.89,800,97,True,,2026-07-27T14:46:18
qwen3.6:35b,code_battery_monitor,create,0.33,False,27.09,31.79,800,124,True,,2026-07-27T14:46:44
qwen3.6:35b,search_tools,search,0.5,True,20.74,31.37,600,71,True,,2026-07-27T14:47:11
qwen3.6:35b,diag_comm_error,diagnose,1.0,True,20.76,31.48,600,87,True,,2026-07-27T14:47:32
gemma4:31b,inv_find_bug,investigate,0,False,0,0,0,0,False,,2026-07-27T14:47:53
gemma4:31b,diag_ev_system,diagnose,0,False,0,0,0,0,False,,2026-07-27T14:52:53
gemma4:31b,create_dispensa,create,0,False,0,0,0,0,False,,2026-07-27T14:57:53
gemma4:31b,search_mosfet,search,0.75,True,240.96,2.53,600,102,True,,2026-07-27T15:02:53
gemma4:31b,fix_injection,fix,0.67,True,257.04,2.37,600,132,True,,2026-07-27T15:06:54
gemma4:31b,predict_batt_degrad,predict,1.0,True,241.64,2.52,600,96,True,,2026-07-27T15:11:11
gemma4:31b,multi_build_scooter,multi_step,0,False,0,0,0,0,False,,2026-07-27T15:15:13
gemma4:31b,code_battery_monitor,create,0,False,0,0,0,0,False,,2026-07-27T15:20:13
gemma4:31b,search_tools,search,0.25,False,241.88,2.53,600,77,True,,2026-07-27T15:25:13
gemma4:31b,diag_comm_error,diagnose,0.75,True,242.05,2.53,600,89,True,,2026-07-27T15:29:15
nemotron-cascade-2:30b-a3b-q4_K_M,inv_find_bug,investigate,0.75,False,89.19,22.0,600,160,True,,2026-07-27T15:33:17
nemotron-cascade-2:30b-a3b-q4_K_M,diag_ev_system,diagnose,0.75,False,25.04,27.04,600,102,True,,2026-07-27T15:34:46
nemotron-cascade-2:30b-a3b-q4_K_M,create_dispensa,create,1.0,True,32.12,27.17,800,105,True,,2026-07-27T15:35:11
nemotron-cascade-2:30b-a3b-q4_K_M,search_mosfet,search,1.0,True,24.56,27.24,600,109,True,,2026-07-27T15:35:43
nemotron-cascade-2:30b-a3b-q4_K_M,fix_injection,fix,0.67,True,25.03,27.1,600,146,True,,2026-07-27T15:36:08
nemotron-cascade-2:30b-a3b-q4_K_M,predict_batt_degrad,predict,1.0,True,24.79,27.06,600,100,True,,2026-07-27T15:36:33
nemotron-cascade-2:30b-a3b-q4_K_M,multi_build_scooter,multi_step,1.0,True,31.92,27.25,800,110,True,,2026-07-27T15:36:58
nemotron-cascade-2:30b-a3b-q4_K_M,code_battery_monitor,create,1.0,True,28.47,27.18,699,137,True,,2026-07-27T15:37:30
nemotron-cascade-2:30b-a3b-q4_K_M,search_tools,search,0.25,False,24.86,26.84,600,81,True,,2026-07-27T15:37:58
nemotron-cascade-2:30b-a3b-q4_K_M,diag_comm_error,diagnose,0.5,False,24.66,27.03,600,91,True,,2026-07-27T15:38:23
qwen3.5:latest,inv_find_bug,investigate,1.0,True,35.05,52.85,600,139,True,,2026-07-27T15:38:48
qwen3.5:latest,diag_ev_system,diagnose,0.75,False,11.84,52.74,600,92,True,,2026-07-27T15:39:23
qwen3.5:latest,create_dispensa,create,1.0,True,23.28,52.55,1200,91,True,,2026-07-27T15:39:35
qwen3.5:latest,search_mosfet,search,0.5,True,11.86,52.57,600,102,True,,2026-07-27T15:39:58
qwen3.5:latest,fix_injection,fix,1.0,True,6.76,52.5,331,129,True,,2026-07-27T15:40:10
qwen3.5:latest,predict_batt_degrad,predict,1.0,True,13.69,45.26,600,92,True,,2026-07-27T15:40:16
qwen3.5:latest,multi_build_scooter,multi_step,1.0,True,41.08,29.58,1200,97,True,,2026-07-27T15:40:30
qwen3.5:latest,code_battery_monitor,create,1.0,True,21.28,38.61,800,124,True,,2026-07-27T15:41:11
qwen3.5:latest,search_tools,search,0.75,True,11.83,52.63,600,71,True,,2026-07-27T15:41:33
qwen3.5:latest,diag_comm_error,diagnose,1.0,True,11.83,52.64,600,87,True,,2026-07-27T15:41:44
cogito:8b,inv_find_bug,investigate,0.5,False,17.58,61.83,600,146,True,,2026-07-27T15:41:56
cogito:8b,diag_ev_system,diagnose,1.0,True,9.57,61.43,571,104,True,,2026-07-27T15:42:14
cogito:8b,create_dispensa,create,1.0,True,10.28,61.78,618,104,True,,2026-07-27T15:42:23
cogito:8b,search_mosfet,search,0.5,False,9.81,61.81,589,104,True,,2026-07-27T15:42:34
cogito:8b,fix_injection,fix,0.67,True,9.4,61.8,563,129,True,,2026-07-27T15:42:43
cogito:8b,predict_batt_degrad,predict,1.0,True,6.55,61.89,388,103,True,,2026-07-27T15:42:53
cogito:8b,multi_build_scooter,multi_step,1.0,True,14.51,61.46,875,109,True,,2026-07-27T15:42:59
cogito:8b,code_battery_monitor,create,0.33,False,12.86,61.12,767,130,True,,2026-07-27T15:43:14
cogito:8b,search_tools,search,0.25,False,9.54,61.77,572,82,True,,2026-07-27T15:43:27
cogito:8b,diag_comm_error,diagnose,1.0,True,9.99,61.74,600,92,True,,2026-07-27T15:43:36
gemma4:12b,inv_find_bug,investigate,1.0,True,34.89,35.97,600,147,True,,2026-07-27T15:43:46
gemma4:12b,diag_ev_system,diagnose,0.75,False,17.36,36.02,600,99,True,,2026-07-27T15:44:21
gemma4:12b,create_dispensa,create,1.0,True,33.26,35.64,1163,92,True,,2026-07-27T15:44:39
gemma4:12b,search_mosfet,search,0.75,True,17.32,36.04,600,102,True,,2026-07-27T15:45:12
gemma4:12b,fix_injection,fix,1.0,True,17.32,35.99,600,132,True,,2026-07-27T15:45:29
gemma4:12b,predict_batt_degrad,predict,1.0,True,17.27,36.03,600,96,True,,2026-07-27T15:45:46
gemma4:12b,multi_build_scooter,multi_step,1.0,True,34.48,35.46,1200,104,True,,2026-07-27T15:46:04
gemma4:12b,code_battery_monitor,create,1.0,True,23.11,35.69,800,129,True,,2026-07-27T15:46:38
gemma4:12b,search_tools,search,0.25,False,17.25,36.11,600,77,True,,2026-07-27T15:47:01
gemma4:12b,diag_comm_error,diagnose,1.0,True,17.24,36.08,600,89,True,,2026-07-27T15:47:19
gemma4:latest,inv_find_bug,investigate,0.5,False,33.26,73.18,600,143,True,,2026-07-27T15:47:36
gemma4:latest,diag_ev_system,diagnose,1.0,True,8.68,72.8,600,95,True,,2026-07-27T15:48:09
gemma4:latest,create_dispensa,create,1.0,True,17.03,72.35,1200,88,True,,2026-07-27T15:48:18
gemma4:latest,search_mosfet,search,0.75,True,8.68,72.84,600,98,True,,2026-07-27T15:48:35
gemma4:latest,fix_injection,fix,0.67,True,8.74,72.59,600,128,True,,2026-07-27T15:48:43
gemma4:latest,predict_batt_degrad,predict,1.0,True,8.74,72.41,600,92,True,,2026-07-27T15:48:52
gemma4:latest,multi_build_scooter,multi_step,1.0,True,17.11,72.06,1200,100,True,,2026-07-27T15:49:01
gemma4:latest,code_battery_monitor,create,1.0,True,11.5,72.7,800,125,True,,2026-07-27T15:49:18
gemma4:latest,search_tools,search,0.5,True,8.68,72.81,600,73,True,,2026-07-27T15:49:30
gemma4:latest,diag_comm_error,diagnose,1.0,True,8.71,72.63,600,85,True,,2026-07-27T15:49:38
gemma4:26b,inv_find_bug,investigate,0.75,False,72.99,26.95,600,147,True,,2026-07-27T15:49:47
gemma4:26b,diag_ev_system,diagnose,1.0,True,23.32,27.82,600,99,True,,2026-07-27T15:51:00
gemma4:26b,create_dispensa,create,1.0,True,30.3,27.81,800,92,True,,2026-07-27T15:51:23
gemma4:26b,search_mosfet,search,1.0,True,23.0,27.98,600,102,True,,2026-07-27T15:51:54
gemma4:26b,fix_injection,fix,0.67,True,23.23,27.83,600,132,True,,2026-07-27T15:52:17
gemma4:26b,predict_batt_degrad,predict,1.0,True,23.14,27.83,600,96,True,,2026-07-27T15:52:40
gemma4:26b,multi_build_scooter,multi_step,1.0,True,30.62,27.48,800,104,True,,2026-07-27T15:53:03
gemma4:26b,code_battery_monitor,create,1.0,True,31.06,27.27,800,129,True,,2026-07-27T15:53:34
gemma4:26b,search_tools,search,0.25,False,23.37,27.42,600,77,True,,2026-07-27T15:54:05
gemma4:26b,diag_comm_error,diagnose,1.0,True,23.39,27.42,600,89,True,,2026-07-27T15:54:28
gemma4:e4b,inv_find_bug,investigate,0.25,False,43.35,70.6,600,143,True,,2026-07-27T15:54:51
gemma4:e4b,diag_ev_system,diagnose,0.75,False,8.8,72.66,600,95,True,,2026-07-27T15:55:35
gemma4:e4b,create_dispensa,create,1.0,True,17.19,71.85,1200,88,True,,2026-07-27T15:55:44
gemma4:e4b,search_mosfet,search,0.75,True,8.72,72.7,600,98,True,,2026-07-27T15:56:01
gemma4:e4b,fix_injection,fix,0.67,True,8.73,72.57,600,128,True,,2026-07-27T15:56:09
gemma4:e4b,predict_batt_degrad,predict,1.0,True,8.78,72.25,600,92,True,,2026-07-27T15:56:18
